epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4596,2.36998,3.619,3.97214,0.00566,0.72609,0.01807,0.00739,1.95679,3.49928,4.66709,6.668e-05,6.668e-05,6.668e-05
2,17.6218,1.98385,3.38489,3.62422,0.30853,0.57913,0.36262,0.18353,1.2507,2.74252,3.98572,0.000147059,0.000147059,0.000147059
3,20.8414,1.45266,2.73014,3.25643,0.35326,0.8313,0.52914,0.26052,1.20986,2.41519,4.01445,0.000224138,0.000224138,0.000224138
4,23.9509,1.25242,2.02306,3.08481,0.627,0.81304,0.67174,0.38398,1.17958,2.11617,3.9665,0.000297916,0.000297916,0.000297916
5,27.1123,1.29508,1.69349,3.1373,0.54804,0.63739,0.50683,0.30997,1.15996,2.11349,3.71774,0.000368394,0.000368394,0.000368394
6,29.8999,1.33299,1.56627,3.11288,0.63329,0.85304,0.70334,0.43198,1.13414,1.6413,3.53352,0.00043557,0.00043557,0.00043557
7,33.1209,1.28954,1.3652,3.01206,0.61327,0.81826,0.70439,0.42204,1.11448,1.80345,3.51354,0.000499447,0.000499447,0.000499447
8,35.9144,1.20549,1.26649,2.95888,0.738,0.76184,0.75896,0.5288,1.07021,1.81578,3.41256,0.000560022,0.000560022,0.000560022
9,39.0025,1.17178,1.16554,2.88121,0.79086,0.8691,0.89854,0.58617,1.16666,1.44011,3.60041,0.000617297,0.000617297,0.000617297
10,41.9663,1.11489,1.01406,2.79556,0.89994,0.92997,0.94278,0.60443,1.11285,1.18109,3.71577,0.000671271,0.000671271,0.000671271
11,44.9867,1.0799,0.95181,2.72371,0.81364,0.88129,0.89427,0.63975,0.92749,1.13299,3.49032,0.000721944,0.000721944,0.000721944
12,48.0402,1.17498,1.02267,2.93981,0.81977,0.87478,0.88567,0.64115,0.94308,1.07872,3.48757,0.000769317,0.000769317,0.000769317
13,51.039,1.15499,1.04262,2.78709,0.8718,0.89549,0.90363,0.57581,1.13923,1.10968,3.38309,0.000813389,0.000813389,0.000813389
14,53.8073,1.19812,1.01957,2.91159,0.8557,0.93652,0.89695,0.63459,0.95939,1.10094,3.39368,0.000854161,0.000854161,0.000854161
15,56.5564,1.1335,0.96325,2.62409,0.77156,0.89826,0.88395,0.63313,1.04948,1.38921,3.66039,0.000891632,0.000891632,0.000891632
16,59.3441,1.0521,0.90486,2.75352,0.8678,0.81826,0.90332,0.62792,0.97867,1.19482,3.5967,0.000925802,0.000925802,0.000925802
17,62.1134,1.13779,0.95733,2.7986,0.749,0.78924,0.8144,0.53921,1.11665,1.26451,3.44834,0.000956671,0.000956671,0.000956671
18,64.8291,1.03785,0.84266,2.5845,0.76873,0.80421,0.8642,0.59326,0.97327,1.37222,3.32797,0.00098424,0.00098424,0.00098424
19,67.5851,1.02032,0.84106,2.73716,0.87917,0.83478,0.89872,0.63832,0.91929,1.41608,3.42963,0.00100851,0.00100851,0.00100851
20,70.349,1.08837,0.84756,2.61274,0.90416,0.83652,0.95079,0.65168,0.98559,1.12768,3.19821,0.00102948,0.00102948,0.00102948
21,73.2598,1.06687,0.83433,2.73357,0.90632,0.91826,0.94197,0.61759,1.07668,1.03201,3.29699,0.00100687,0.00100687,0.00100687
22,75.922,1.01864,0.79963,2.63479,0.93215,0.9161,0.95419,0.64869,0.99573,1.09316,3.22508,0.000973861,0.000973861,0.000973861
23,78.5842,0.96417,0.78236,2.5503,0.91894,0.95826,0.97839,0.68836,0.90895,1.06203,3.19025,0.000940855,0.000940855,0.000940855
24,81.646,0.88643,0.72944,2.60127,0.93691,0.95826,0.97476,0.71728,0.89245,0.92544,3.28125,0.000907848,0.000907848,0.000907848
25,84.5163,0.92551,0.72118,2.67108,0.88727,0.84929,0.93927,0.64357,0.949,0.88293,3.34881,0.000874842,0.000874842,0.000874842
26,87.2017,0.96375,0.72615,2.70059,0.81245,0.95826,0.9168,0.65695,0.88151,0.89587,3.3078,0.000841835,0.000841835,0.000841835
27,89.9034,0.95238,0.74473,2.53342,0.83254,0.91012,0.90113,0.65499,0.89166,0.85323,3.43794,0.000808828,0.000808828,0.000808828
28,92.6349,0.92468,0.70509,2.53254,0.86953,0.89652,0.90889,0.66588,0.86139,0.7764,3.39048,0.000775822,0.000775822,0.000775822
29,95.3844,0.84732,0.67603,2.7025,0.90664,0.86926,0.91255,0.63968,0.86617,0.79725,3.41501,0.000742815,0.000742815,0.000742815
30,98.1205,0.94805,0.69142,2.74697,0.92935,0.89209,0.92345,0.63701,0.89924,0.76142,3.43011,0.000709809,0.000709809,0.000709809
31,100.799,0.86603,0.65052,2.60903,0.86325,0.92068,0.93324,0.66508,0.8755,0.73949,3.34463,0.000676802,0.000676802,0.000676802
32,103.497,0.79597,0.60628,2.66466,0.87364,0.89652,0.92825,0.69375,0.83339,0.72817,3.26949,0.000643795,0.000643795,0.000643795
33,106.173,0.9216,0.67163,2.63923,0.8849,0.90291,0.93778,0.71264,0.81456,0.73676,3.19712,0.000610789,0.000610789,0.000610789
34,108.818,0.83105,0.63758,2.49981,0.87304,0.87652,0.93649,0.71076,0.85449,0.75215,3.25518,0.000577782,0.000577782,0.000577782
35,111.482,0.84323,0.66385,2.40547,0.89579,0.89097,0.94343,0.69002,0.86797,0.74791,3.33443,0.000544776,0.000544776,0.000544776
36,114.258,0.85533,0.62626,2.51811,0.89433,0.87652,0.93536,0.69044,0.86756,0.71674,3.3464,0.000511769,0.000511769,0.000511769
37,116.9,0.82856,0.68288,2.55503,0.91569,0.88247,0.9336,0.71244,0.85504,0.68775,3.2892,0.000478762,0.000478762,0.000478762
38,119.868,0.74507,0.57648,2.62213,0.91086,0.90208,0.93517,0.70204,0.84919,0.68432,3.27554,0.000445756,0.000445756,0.000445756
39,122.513,0.79927,0.61172,2.55766,0.90877,0.91484,0.93711,0.70569,0.82849,0.66205,3.26123,0.000412749,0.000412749,0.000412749
40,125.272,0.76569,0.55793,2.45762,0.94819,0.91767,0.94547,0.6922,0.81525,0.62973,3.28403,0.000379743,0.000379743,0.000379743
41,129.871,0.63763,0.54729,2.32937,0.91479,0.94533,0.94879,0.70802,0.79484,0.61962,3.22336,0.000346736,0.000346736,0.000346736
42,132.766,0.62478,0.54681,2.6255,0.91929,0.95715,0.95025,0.68371,0.86992,0.62431,3.20701,0.000313729,0.000313729,0.000313729
43,135.487,0.6652,0.5135,2.61109,0.90765,0.9559,0.95111,0.68927,0.9016,0.62336,3.26684,0.000280723,0.000280723,0.000280723
44,138.266,0.69408,0.52735,2.53406,0.93283,0.95641,0.94611,0.72463,0.7533,0.60031,3.26071,0.000247716,0.000247716,0.000247716
45,141.214,0.57415,0.51733,2.42447,0.91818,0.95289,0.94706,0.72357,0.75534,0.60425,3.26309,0.00021471,0.00021471,0.00021471
46,144.06,0.56709,0.48168,2.56027,0.9076,0.95527,0.94572,0.72326,0.78045,0.61726,3.26469,0.000181703,0.000181703,0.000181703
47,146.749,0.58091,0.46284,2.64348,0.90531,0.96,0.93045,0.72604,0.79429,0.62098,3.24101,0.000148696,0.000148696,0.000148696
48,149.467,0.58626,0.47586,2.29897,0.91127,0.9594,0.92973,0.71185,0.76882,0.61443,3.19925,0.00011569,0.00011569,0.00011569
49,152.134,0.54763,0.44093,2.51772,0.91292,0.95841,0.92998,0.71638,0.75607,0.61387,3.20729,8.26832e-05,8.26832e-05,8.26832e-05
50,154.825,0.54351,0.45456,2.46551,0.91424,0.95756,0.94459,0.72125,0.74924,0.61459,3.21333,4.96766e-05,4.96766e-05,4.96766e-05
